Parameter,Setting
Data Type:,Status and Intensity
Start Date:,2017-10-01
End Date:,2018-10-01
States:,"MA, ME"
Species:,"Allegheny serviceberry (Amelanchier laevis), alternateleaf dogwood (Cornus alternifolia), American basswood (Tilia americana), American beautyberry (Callicarpa americana), American beech (Fagus grandifolia), American chestnut (Castanea dentata), American elm (Ulmus americana), American hazelnut (Corylus americana), American hornbeam (Carpinus caroliniana), American mountain ash (Sorbus americana), American plum (Prunus americana), American sycamore (Platanus occidentalis), American tarwort (Flourensia cernua), American witchhazel (Hamamelis virginiana), Amur corktree (Phellodendron amurense), Amur honeysuckle (Lonicera maackii), angel's-tears (Brugmansia suaveolens), antelope bitterbrush (Purshia tridentata), Appalachian Spring dogwood (Cornus florida-appalachianspring), apple (Malus spp.), apricot (Prunus armeniaca), arctic willow (Salix arctica), Arizona walnut (Juglans major), Arnold Red honeysuckle (Lonicera tatarica-arnoldred), arroyo willow (Salix lasiolepis), Asiatic dogwood (Cornus officinalis), Autumn Brilliance serviceberry (Amelanchier grandiflora-autumnbrilliance), avocado (Persea americana), balsam poplar (Populus balsamifera), barrigon (Pseudobombax septenatum), bastardcedar (Guazuma ulmifolia), beach plum (Prunus maritima), beaked hazelnut (Corylus cornuta), bear oak (Quercus ilicifolia), Berlandier's wolfberry (Lycium berlandieri), big sagebrush (Artemisia tridentata), bigflower pawpaw (Asimina obovata), bigleaf maple (Acer macrophyllum), bigtooth aspen (Populus grandidentata), bigtooth maple (Acer grandidentatum), bitter cherry (Prunus emarginata), bitternut hickory (Carya cordiformis), black ash (Fraxinus nigra), black cherry (Prunus serotina), black cottonwood (Populus trichocarpa), black elderberry (Sambucus nigra), black hawthorn (Crataegus douglasii), black huckleberry (Gaylussacia baccata), black locust (Robinia pseudoacacia), black maple (Acer nigrum), black oak (Quercus velutina), black sage (Salvia mellifera), black walnut (Juglans nigra), black willow (Salix nigra), blackbrush (Coleogyne ramosissima), blackgum (Nyssa sylvatica), blackhaw (Viburnum prunifolium), blackjack oak (Quercus marilandica), blue elderberry (Sambucus nigra-cerulea), blue paloverde (Parkinsonia florida), bog blueberry (Vaccinium uliginosum), boxelder (Acer negundo), bride's feathers (Aruncus dioicus), brittlebush (Encelia farinosa), broom snakeweed (Gutierrezia sarothrae), bur oak (Quercus macrocarpa), burningbush (Euonymus alatus), burrobush (Ambrosia dumosa), bushy St. Johnswort (Hypericum densiflorum), California black oak (Quercus kelloggii), California blackberry (Rubus ursinus), California brittlebush (Encelia californica), California buckeye (Aesculus californica), California sycamore (Platanus racemosa), California wildrose (Rosa californica), Callery pear (Pyrus calleryana), Canadian serviceberry (Amelanchier canadensis), canyon grape (Vitis arizonica), Carolina silverbell (Halesia carolina), Cascade bilberry (Vaccinium deliciosum), Cascara buckthorn (Frangula purshiana), catberry (Ilex mucronata), catclaw acacia (Acacia greggii), catclaw mimosa (Mimosa aculeaticarpa), cedar elm (Ulmus crassifolia), chestnut oak (Quercus montana), Chinese tallow (Triadica sebifera), chokecherry (Prunus virginiana), coastal plain willow (Salix caroliniana), coastal sagebrush (Artemisia californica), common buckthorn (Rhamnus cathartica), common buttonbush (Cephalanthus occidentalis), common hackberry (Celtis occidentalis), common lilac (Syringa vulgaris), common pear (Pyrus communis), common persimmon (Diospyros virginiana), common serviceberry (Amelanchier arborea), common snowberry (Symphoricarpos albus), common winterberry  (Ilex verticillata), coralberry (Symphoricarpos orbiculatus), corcho bobo (Pisonia albida), curl-leaf mountain mahogany (Cercocarpus ledifolius), dahoon (Ilex cassine), Dahurian buckthorn (Rhamnus davurica), deerbrush (Ceanothus integerrimus), desert ceanothus (Ceanothus greggii), desert ironwood (Olneya tesota), desert willow (Chilopsis linearis), desert zinnia (Zinnia acerosa), devil's darning needles (Clematis virginiana), devilsclub (Oplopanax horridus), diamondleaf willow (Salix planifolia), dune willow (Salix hookeriana), dwarf birch (Betula nana), dwarf rose  (Rosa gymnocarpa), eastern baccharis (Baccharis halimifolia), eastern cottonwood (Populus deltoides), Eastern Mojave buckwheat (Eriogonum fasciculatum), eastern poison ivy (Toxicodendron radicans), eastern redbud (Cercis canadensis), entireleaf mountain-avens (Dryas integrifolia), espave (Anacardium excelsum), European plum (Prunus domestica), evergreen clematis (Clematis vitalba), feltleaf willow (Salix alaxensis), flowering dogwood (Cornus florida), forsythia (Forsythia spp.), fox grape (Vitis labrusca), fragrant sumac (Rhus aromatica), Fremont cottonwood (Populus fremontii), Gambel oak (Quercus gambelii), golden currant (Ribes aureum), Goodding's willow (Salix gooddingii), gooseberry currant (Ribes montigenum), granite prickly phlox (Linanthus pungens), gray alder (Alnus incana), gray dogwood (Cornus racemosa), green alder (Alnus viridis), green ash (Fraxinus pennsylvanica), greyleaf willow (Salix glauca), guajillo (Acacia berlandieri), guayacan (Handroanthus guayacan), gumbo limbo (Bursera simaruba), hardy orange (Poncirus trifoliata), Hawai'i blackberry (Rubus hawaiensis), hawthorn (Crataegus spp.), highbush blueberry (Vaccinium corymbosum), hobblebush (Viburnum lantanoides), honey mesquite (Prosopis glandulosa), honeylocust (Gleditsia triacanthos), hophornbeam (Ostrya virginiana), huckleberry oak (Quercus vacciniifolia), Indian plum (Oemleria cerasiformis), jacaranda (Jacaranda copaia), Japanese angelica tree (Aralia elata), Japanese barberry (Berberis thunbergii), Japanese flowering cherry (Prunus serrulata), Japanese zelkova (Zelkova serrata), Kentucky yellowwood (Cladrastis kentukea), Kousa dogwood (Cornus kousa), kudzu (Pueraria montana), leadplant (Amorpha canescens), Lewis' mock orange (Philadelphus lewisii), lilac chastetree (Vitex agnus-castus), lotebush (Ziziphus obtusifolia), lowbush blueberry (Vaccinium angustifolium), maidenhair tree (Ginkgo biloba), mallow ninebark (Physocarpus malvaceus), Manchurian lilac (Syringa pubescens), mapleleaf viburnum (Viburnum acerifolium), mariola (Parthenium incanum), mesquite (Prosopis juliflora), mockernut hickory (Carya tomentosa), Morrow's honeysuckle (Lonicera morrowii), mountain magnolia (Magnolia fraseri), mountain maple (Acer spicatum), mountain snowberry (Symphoricarpos oreophilus), mule-fat (Baccharis salicifolia), multiflora rose (Rosa multiflora), naio (Myoporum sandwicense), Nanking cherry (Prunus tomentosa), narrowleaf cottonwood (Populus angustifolia), narrowleaf willow (Salix exigua), netleaf hackberry (Celtis reticulata), netleaf willow (Salix reticulata), netted pawpaw (Asimina reticulata), New Jersey tea (Ceanothus americanus), New Mexico locust (Robinia neomexicana), Nootka rose (Rosa nutkana), northern red oak (Quercus rubra), northern spicebush (Lindera benzoin), Norway maple (Acer platanoides), oceanspray (Holodiscus discolor), ocotillo (Fouquieria splendens), Ohio buckeye (Aesculus glabra), orange bush monkeyflower (Diplacus aurantiacus), Oregon ash (Fraxinus latifolia), Oregon white oak (Quercus garryana), Pacific dogwood (Cornus nuttallii), Pacific ninebark (Physocarpus capitatus), Pacific poison oak (Toxicodendron diversilobum), Panama tree (Sterculia apetala), paper birch (Betula papyrifera), paradise apple (Malus pumila), pawpaw (Asimina triloba), peach (Prunus persica), pecan (Carya illinoinensis), pignut hickory (Carya glabra), pin cherry (Prunus pensylvanica), pin oak (Quercus palustris), pineneedle milkweed (Asclepias linaria), pink azalea (Rhododendron periclymenoides), pink trumpet-tree (Tabebuia rosea), possumhaw (Ilex decidua), possumhaw (Viburnum nudum), prickly rose (Rosa acicularis), pussy willow (Salix discolor), quaking aspen (Populus tremuloides), quince (Cydonia oblonga), red alder (Alnus rubra), red buckeye (Aesculus pavia), red chokeberry (Aronia arbutifolia), red elderberry (Sambucus racemosa), red huckleberry (Vaccinium parvifolium), red maple (Acer rubrum), Red Rothomagensis lilac (Syringa chinensis), red willow (Salix laevigata), redflower currant (Ribes sanguineum), redosier dogwood (Cornus sericea), resin birch (Betula glandulosa), river birch (Betula nigra), Rocky Mountain maple (Acer glabrum), rose spirea (Spiraea douglasii), roughleaf dogwood (Cornus drummondii), rubber rabbitbrush (Ericameria nauseosa), rugosa rose (Rosa rugosa), russet buffaloberry (Shepherdia canadensis), Russian olive (Elaeagnus angustifolia), salmonberry (Rubus spectabilis), sand sagebrush (Artemisia filifolia), Saskatoon serviceberry (Amelanchier alnifolia), sassafras (Sassafras albidum), Scotch broom (Cytisus scoparius), Scouler's willow (Salix scouleriana), screwbean mesquite (Prosopis pubescens), seagrape (Coccoloba uvifera), shagbark hickory (Carya ovata), shingle oak (Quercus imbricaria), shrubby cinquefoil (Dasiphora floribunda), Shumard's oak (Quercus shumardii), Siberian elm (Ulmus pumila), Sierra gooseberry (Ribes roezlii), silver buffaloberry (Shepherdia argentea), silver maple (Acer saccharinum), silverberry (Elaeagnus commutata), slippery elm (Ulmus rubra), smallflower blueberry (Vaccinium virgatum), smooth sumac (Rhus glabra), sourwood (Oxydendrum arboreum), southern arrowwood (Viburnum dentatum), southern red oak (Quercus falcata), staghorn sumac (Rhus typhina), star magnolia (Magnolia stellata), stiff dogwood (Cornus foemina), stretchberry (Forestiera pubescens), striped maple (Acer pensylvanicum), sugar maple (Acer saccharum), sugarberry (Celtis laevigata), sulphur-flower buckwheat (Eriogonum umbellatum), sweet almond (Prunus dulcis), sweet birch (Betula lenta), sweetbay (Magnolia virginiana), sweetgale (Myrica gale), sweetgum (Liquidambar styraciflua), sycamore maple (Acer pseudoplatanus), tamarisk (Tamarix spp.), Tatarian honeysuckle (Lonicera tatarica), thimbleberry (Rubus parviflorus), thinleaf huckleberry (Vaccinium membranaceum), toringo crab (Malus sieboldii), Torrey wolfberry (Lycium torreyi), trumpet creeper (Campsis radicans), trumpet honeysuckle (Lonicera sempervirens), tuliptree (Liriodendron tulipifera), turkey oak (Quercus laevis), twinberry honeysuckle (Lonicera involucrata), umbrella-tree (Magnolia tripetala), Utah serviceberry (Amelanchier utahensis), valley oak (Quercus lobata), Van Houtt's spirea  (Spiraea vanhouttei), velvet ash (Fraxinus velutina), velvet mesquite (Prosopis velutina), velvetleaf huckleberry (Vaccinium myrtilloides), vine maple (Acer circinatum), Virginia creeper (Parthenocissus quinquefolia), water tupelo  (Nyssa aquatica), wax currant (Ribes cereum), western azalea (Rhododendron occidentale), western snowberry (Symphoricarpos occidentalis), white ash (Fraxinus americana), white cedar (Tabebuia heterophylla), white meadowsweet (Spiraea alba), white oak (Quercus alba), whitestem paperflower (Psilostrophe cooperi), whitethorn acacia (Vachellia constricta), willow oak (Quercus phellos), wine grape (Vitis vinifera), winged elm (Ulmus alata), winged sumac (Rhus copallinum), winterfat (Krascheninnikovia lanata), Woods' rose (Rosa woodsii), yellow birch (Betula alleghaniensis), yellow buckeye (Aesculus flava), yellow mombin (Spondias mombin), yellow paloverde (Parkinsonia microphylla), Yoshino cherry (Prunus yedoensis)"
Phenophase Categories:,Leaves
Output Fields:,
Quality Flags:,ignored
Partner Groups:,
Integrated Datasets:,
Stations:,
